Issue #,Title,Type Labels,Area Labels,Status Labels,Priority Labels,Assignees,Milestone,Gaps
1778,"fix: CHANGELOG validation — reduce formatting strictness for older entries",type:task,area:ci;area:documentation,status:needs-triage;status:needs-more-info,priority:normal,,,assignee;milestone
1766,"Phase 4: Monitoring & Maintenance — PR/Issue Milestone Allocation",type:task,,status:needs-more-info,priority:normal,,,area;assignee;milestone
1765,"Phase 3: Refinement & Rollout — PR/Issue Milestone Allocation",type:task,,status:needs-more-info,priority:normal,,,area;assignee;milestone
1764,"Phase 2: Implementation & Testing — PR/Issue Milestone Allocation",type:task,,status:needs-more-info,priority:normal,,,area;assignee;milestone
1762,"PR/Issue → Milestone Allocation Automation (Epic)",type:epic,,status:needs-more-info,priority:important,,,area;assignee;milestone
1760,"[Phase 6] Team rollout, deployment, and monitoring",type:task,area:ci,status:needs-triage;status:needs-more-info,priority:important,,,assignee;milestone
1759,"[Phase 5.1–5.3] Documentation (setup guide and troubleshooting)",type:documentation,area:ci,status:needs-triage;status:needs-more-info,priority:important,,,assignee;milestone
1758,"[Phase 4.1–4.2] GitHub Actions workflow and testing",type:task,area:ci,status:needs-triage;status:needs-more-info,priority:important,,,assignee;milestone
1757,"[Phase 3.1] Create pre-commit hook for branch name validation",type:task,area:ci,status:needs-triage;status:needs-more-info,priority:important,,,assignee;milestone
1756,"[Phase 2.1] Create branch name validation script",type:task,area:ci,status:needs-triage;status:needs-more-info,priority:important,,,assignee;milestone
1749,"Phase 6: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1748,"Phase 5: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1747,"Phase 4: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1746,"Phase 3: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1745,"Phase 2: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1744,"Phase 1: Test Coverage Expansion — test-coverage-implementation",type:task,,status:needs-more-info,priority:important,,,area;assignee;milestone
1743,"Test Coverage Expansion — 80%+ Coverage with 62-Task Programme",type:epic,,status:needs-triage;status:needs-more-info,priority:important,,,area;assignee;milestone
1742,"Phase 4: Review & Approve All Agent Specs — agent-tool-permission-alignment",type:task,,status:needs-triage;status:needs-more-info,priority:normal,,,area;assignee;milestone
1741,"Phase 3: Implement Validation & CI Enforcement — agent-tool-permission-alignment",type:task,,status:needs-triage;status:needs-more-info,priority:normal,,,area;assignee;milestone
1740,"Phase 2: Design Tool/Permission Contract — agent-tool-permission-alignment",type:task,,status:needs-triage;status:needs-more-info,priority:important,,,area;assignee;milestone
1739,"Phase 1: Audit Existing Agent Specs — agent-tool-permission-alignment",type:task,,status:needs-triage;status:needs-more-info,priority:important,,,area;assignee;milestone
1738,"Agent-Tool Permission Contract — Canonical Tool/Permission Alignment",type:epic,,status:needs-triage;status:needs-more-info,priority:important,,,area;assignee;milestone
1735,"Phase 4: Cleanup & Documentation — Reports & Projects",type:task,,status:needs-triage;status:needs-more-info,priority:normal,,,area;assignee;milestone
1731,"Reports & Projects Restructuring Initiative",type:epic,,status:needs-triage;status:needs-more-info,priority:important,,,area;assignee;milestone
1726,"🏥 Badge Health Check - 26 Broken Links",type:task,area:automation,,priority:important,,,status;assignee;milestone
1725,"New Workflows Added to Badge Schema",type:task,area:automation,,,,,status;priority;assignee;milestone
1722,"Epic: Issue Maintenance Scripts Phase 1 — Core Scripts Implementation",type:epic,area:automation,status:needs-more-info,priority:normal,,,assignee;milestone
1721,"Task: Implement manage-stale-issues.js — Stale Issue Handler",type:task,area:automation,status:needs-triage;status:needs-more-info,priority:normal,,,assignee;milestone
1719,"Task: Implement sync-pr-labels.js — Auto-Sync PR Labels",type:task,area:automation,status:needs-triage;status:needs-more-info,priority:normal,,,assignee;milestone
1710,"GitHub Actions workflow checkout creating triple .github/ path",,,status:needs-more-info,,,,type;area;priority;assignee;milestone
1707,"fix: planner.agent.js GITHUB_TOKEN environment issue in tests",type:bug,area:ci;area:tests,status:needs-more-info,priority:high,,,assignee;milestone;pr-link
