skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
ai-chatbot-planner,AI Chatbot Planner,"plan bounded website chatbots for lightspeed client projects, including chatbot purpose, audience, approved sources, exclusion lists, behaviour rules, fallback wording, escalation, privacy notes, launch gates, test scripts and first draft system prompts. use when a user asks whether a chatbot is appropriate, how to scope a chatbot, how to prepare ai engine or wordpress chatbot requirements, or how to define safe chatbot behaviour.",agent-attached,/root/.codex/skills/hermes/ai-chatbot-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-chatbot-planner,8 files exported
ai-governance-documentor,AI Governance Documentor,"create ai governance discovery summaries, lightweight ai policies, operational governance guides, governance matrices, role maps and approved prompt templates for lightspeed website, content and chatbot projects. use when a user provides discovery answers, risk context, business notes or asks to document ai use cases, approval workflows, chatbot behaviour, source controls or human review rules.",agent-attached,/root/.codex/skills/hermes/ai-governance-documentor,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-governance-documentor,8 files exported
ai-readiness-assessor,AI Readiness Assessor,"assess website ai readiness for lightspeed client projects using checklist answers, website urls, audit exports, discovery notes or uploaded evidence. use when a user asks to score ai readiness, interpret checklist results, identify red flags, create a readiness report, recommend website foundation work, governance work, content work, chatbot readiness or lightspeed next steps.",agent-attached,/root/.codex/skills/hermes/ai-readiness-assessor,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-readiness-assessor,7 files exported
content-collection-planner,Content Collection Planner,"create tailored content collection checklists, content gap reports, client request emails and downloadable folder structures for lightspeed website, governance and chatbot projects. use when a user needs generic website content requests, sector add-ons for ecommerce, tourism, publishing, education, memberships or subscriptions, or source-of-truth planning for ai-assisted content and chatbot grounding.",agent-attached,/root/.codex/skills/hermes/content-collection-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/content-collection-planner,8 files exported
documents,Documents Skill (Read • Create • Edit • Redline • Comment),"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",directory-installed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/directory-installed/builtins/documents,76 files exported
figma:figma-code-connect,Code Connect,"Creates and maintains Figma Code Connect template files that map Figma components to code snippets. Use when the user mentions Code Connect, Figma component mapping, design-to-code translation, or asks to create/update .figma.ts or .figma.js files.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-code-connect,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-code-connect,3 files exported
figma:figma-create-new-file,create_new_file — Create a New Figma File,"**MANDATORY prerequisite** — you MUST invoke this skill BEFORE every `create_new_file` tool call. NEVER call `create_new_file` directly without loading this skill first. Trigger whenever the user wants a new blank Figma file — a new design, FigJam, or Slides file — or when you need a fresh file before calling `use_figma`. Usage — /figma-create-new-file [editorType] [fileName] (e.g. /figma-create-new-file figjam My Whiteboard, /figma-create-new-file slides Q3 Review)",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-create-new-file,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-create-new-file,1 files exported
figma:figma-generate-design,Build / Update Screens and Views from Design System,"Use this skill alongside figma-use when the task involves translating an application page, view, or multi-section layout into Figma. Triggers: 'write to Figma', 'create in Figma from code', 'push page to Figma', 'take this app/page and build it in Figma', 'create a screen', 'build a landing page in Figma', 'update the Figma screen to match code', 'convert this modal/dialog/drawer/panel to Figma'. This is the preferred workflow skill whenever the user wants to build or update a full page, modal, dialog, drawer, sidebar, panel, or any composed multi-section view in Figma from code or a description. Discovers design system components, variables, and styles from Code Connect files, existing screens, and library search, then imports them and assembles views incrementally section-by-section using design system tokens instead of hardcoded values.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-design,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-design,3 files exported
figma:figma-generate-diagram,generate-diagram,"MANDATORY prerequisite — load this skill BEFORE every `generate_diagram` tool call. NEVER call `generate_diagram` directly without loading this skill first. Trigger whenever the user asks to create, generate, draw, render, sketch, or build a diagram — flowchart, architecture diagram, sequence diagram, ERD or entity-relationship diagram, state diagram or state machine, gantt chart, or timeline. Also trigger when the user mentions Mermaid syntax or wants a system architecture, decision tree, dependency graph, API call flow, auth handshake, schema, or pipeline visualized in FigJam. Routes to type-specific guidance, sets universal Mermaid constraints, and tells you when to use a different diagram type or skip the tool entirely (mindmaps, pie charts, class diagrams, etc.).",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-diagram,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-diagram,8 files exported
figma:figma-generate-library,Design System Builder — Figma MCP Skill,"Build or update a professional-grade design system in Figma from a codebase. Use when the user wants to create variables/tokens, build component libraries, create individual components with proper variant sets and variable bindings, set up theming (light/dark modes), document foundations, or reconcile gaps between code and Figma. Also use when the user asks to create or generate any component in Figma — even a single one — since components require proper variable foundations, variant states, and design token bindings to be production-quality. This skill teaches WHAT to build and in WHAT ORDER — it complements the `figma-use` skill which teaches HOW to call the Plugin API. Both skills should be loaded together.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-library,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-library,17 files exported
