Label Name,Family,Color,Description,In Type Labels,In Governance Policy,In Documentation,Status
status:needs-planning,status,BFD4F2,Awaiting planning / scoping,False,False,True,Standard
status:needs-triage,status,BFD4F2,Needs triage,False,False,True,Standard
status:ready,status,0E8A16,Groomed and ready to start,False,False,True,Standard
status:in-progress,status,1D76DB,Work in progress,False,False,True,Standard
status:on-hold,status,F9D0C4,Work on hold,False,False,True,Standard
status:needs-design,status,C5DEF5,Awaiting design input,False,False,True,Standard
status:needs-design-review,status,D4C5F9,Awaiting design review,False,False,True,Standard
status:needs-figma-update,status,C5DEF5,Existing Figma design needs updating,False,False,True,Standard
status:needs-dev,status,C5DEF5,Awaiting engineering implementation,False,False,True,Standard
status:needs-review,status,BFD4F2,Awaiting code review,False,False,True,Standard
status:needs-qa,status,FBCA04,Quality assurance required,False,False,True,Standard
status:needs-testing,status,FEF2C0,Testing needed (manual/automated),False,False,True,Standard
status:needs-documentation,status,BFD4F2,Needs documentation update,False,False,True,Standard
status:in-discussion,status,BFD4F2,Needs alignment/decision,False,False,True,Standard
status:needs-more-info,status,BFD4F2,Missing details to proceed,False,False,True,Standard
status:blocked,status,E99695,Blocked by dependency,False,False,True,Standard
status:duplicate,status,E99695,Duplicate of another issue,False,False,True,Standard
status:wontfix,status,E1E4E8,Not planned to address,False,False,True,Standard
status:done,status,0E8A16,Completed,False,False,True,Standard
status:needs-audit,status,7E6007,Audit needed (security/compliance/quality),False,False,True,Standard
priority:critical,priority,B60205,Production/launch-blocking,False,False,True,Standard
priority:important,priority,D93F0B,Must-do high priority,False,False,True,Standard
priority:normal,priority,0052CC,Default priority,False,False,True,Standard
priority:minor,priority,C2E0C6,Low priority / nice to have,False,False,True,Standard
type:task,type,4393F8,Task or to-do,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:bug,type,9F3734,Bug or defect,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:feature,type,3FB950,Feature or enhancement,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:design,type,AB7DF8,Design work,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:epic,type,AB7DF8,Large multi-scope initiative,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:question,type,4393F8,Question or enquiry,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:improve,type,9198A1,Improvement to existing behaviour/UX,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:chore,type,9198A1,Routine task or maintenance update,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:ci,type,4393F8,CI,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:automation,type,4393F8,Automation tasks or scripts,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:test,type,D29922,Test coverage,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:performance,type,D29922,Performance improvement,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:a11y,type,DB61A2,Accessibility,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:security,type,9F3734,Security issue,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:compat,type,8D4821,Compatibility,True,False,False,IMMUTABLE_TYPE; UNDOCUMENTED
type:refactor,type,9198A1,Refactor or internal change,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:release,type,3FB950,Release,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:dependency,type,9198A1,Dependency update or management,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:docs,type,9198A1,Documentation,True,False,True,IMMUTABLE_TYPE
type:research,type,9198A1,Research / investigation,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:audit,type,9198A1,Audit,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:review,type,D29922,Code or design review task,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:aiops,type,4393F8,AI Ops,True,False,False,IMMUTABLE_TYPE; UNDOCUMENTED
type:content-modelling,type,AB7DF8,Content Modelling,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
type:build,type,4393F8,Build tasks or processes,True,True,True,IMMUTABLE_TYPE; GOVERNANCE_PROTECTED
meta:needs-changelog,meta,E1E4E8,Requires a changelog entry before merge,False,False,True,Standard
meta:no-changelog,meta,E1E4E8,No changelog needed,False,False,True,Standard
meta:has-pr,meta,E1E4E8,Issue has an open linked PR,False,False,True,Standard
meta:no-issue-activity,meta,E1E4E8,No recent issue activity,False,False,True,Standard
meta:no-pr-activity,meta,E1E4E8,No recent PR activity,False,False,True,Standard
meta:stale,meta,9198A1,Marked as stale for review,False,False,True,Standard
release:patch,release,3FB950,Patch release,False,False,True,Standard
release:minor,release,58A6FF,Minor release,False,False,True,Standard
release:major,release,F85149,Major release,False,False,True,Standard
release:hotfix,release,D29922,Urgent hotfix outside normal cadence,False,False,True,Standard
area:core,area,C5DEF5,Core / shared infrastructure,False,False,True,Standard
