skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
ai-chatbot-planner,AI Chatbot Planner,"plan bounded website chatbots for lightspeed client projects, including chatbot purpose, audience, approved sources, exclusion lists, behaviour rules, fallback wording, escalation, privacy notes, launch gates, test scripts and first draft system prompts. use when a user asks whether a chatbot is appropriate, how to scope a chatbot, how to prepare ai engine or wordpress chatbot requirements, or how to define safe chatbot behaviour.",agent-attached,/root/.codex/skills/hermes/ai-chatbot-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-chatbot-planner,source files readable and copied
ai-governance-documenter,AI Governance Documenter,"Document AI governance requirements for a LightSpeed initiative, including",agent-attached,/root/.codex/skills/hermes/ai-governance-documenter,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-governance-documenter,source files readable and copied
ai-governance-documentor,AI Governance Documentor,"create ai governance discovery summaries, lightweight ai policies, operational governance guides, governance matrices, role maps and approved prompt templates for lightspeed website, content and chatbot projects. use when a user provides discovery answers, risk context, business notes or asks to document ai use cases, approval workflows, chatbot behaviour, source controls or human review rules.",agent-attached,/root/.codex/skills/hermes/ai-governance-documentor,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-governance-documentor,source files readable and copied
ai-readiness-assessor,AI Readiness Assessor,"assess website ai readiness for lightspeed client projects using checklist answers, website urls, audit exports, discovery notes or uploaded evidence. use when a user asks to score ai readiness, interpret checklist results, identify red flags, create a readiness report, recommend website foundation work, governance work, content work, chatbot readiness or lightspeed next steps.",agent-attached,/root/.codex/skills/hermes/ai-readiness-assessor,unknown,yes,yes,yes,fully exported,skills/agent-attached/ai-readiness-assessor,source files readable and copied
claim-register-builder,Claim Register Builder,"Create or update claim registers for full websites, single pages, single sections, FAQs, and stats-based content. Use when a user needs to capture claims, evidence, approvals, risk level, and rewrite needs before drafting or publishing.",agent-attached,/root/.codex/skills/hermes/claim-register-builder,unknown,yes,yes,yes,fully exported,skills/agent-attached/claim-register-builder,source files readable and copied
content-collection-planner,Content Collection Planner,"create tailored content collection checklists, content gap reports, client request emails and downloadable folder structures for lightspeed website, governance and chatbot projects. use when a user needs generic website content requests, sector add-ons for ecommerce, tourism, publishing, education, memberships or subscriptions, or source-of-truth planning for ai-assisted content and chatbot grounding.",agent-attached,/root/.codex/skills/hermes/content-collection-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/content-collection-planner,source files readable and copied
content-collection-planner-extended,Content Collection Planner+,"Create collection plans, request lists, gap reports, and source-of-truth registers for full websites, single pages, and single sections. Use when a user needs content collection for an entire site, a standard page, a one-off page, or a smaller content block such as a hero, CTA, FAQ, form, or newsletter section.",agent-attached,/root/.codex/skills/hermes/content-collection-planner-extended,unknown,yes,yes,yes,fully exported,skills/agent-attached/content-collection-planner-extended,source files readable and copied
conversion-goal-strategist,Conversion Goal Strategist,"Define audience flows, page-level conversion goals, and site-wide conversion strategy for websites, single pages, newsletters, forms, and responder workflows. Use when a user needs strategic intake to connect audience intent, page purpose, and conversion outcomes before drafting.",agent-attached,/root/.codex/skills/hermes/conversion-goal-strategist,unknown,yes,yes,yes,fully exported,skills/agent-attached/conversion-goal-strategist,source files readable and copied
faq-intake-claim-mapper,FAQ Intake and Claim Mapper,"Collect FAQ intake for website pages, define exactly five useful FAQ planning slots, and route claim-sensitive answers into the claim register before drafting. Use when a page needs FAQ planning, objection handling, routing questions, or safe answer preparation.",agent-attached,/root/.codex/skills/hermes/faq-intake-claim-mapper,unknown,yes,yes,yes,fully exported,skills/agent-attached/faq-intake-claim-mapper,source files readable and copied
forms-and-email-responder-planner,Forms and Email Responder Planner,"Define form structure, input fields, validation rules, admin notification emails, and user autoresponder emails. Use when a user needs a website form, newsletter signup flow, lead form, enquiry flow, or responder-email content.",agent-attached,/root/.codex/skills/hermes/forms-and-email-responder-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/forms-and-email-responder-planner,source files readable and copied
