skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
accessibility-discovery-reviewer,accessibility-discovery-reviewer,"--- name: accessibility-discovery-reviewer description: Run website accessibility discovery assessments for LightSpeed website projects. Use when the user wants to assess accessibility findings, likely compliance or usability risks, evidence gaps, recurring accessibility problem patterns, or what should be validated before remediation planning.",agent-attached,/root/.codex/skills/hermes/accessibility-discovery-reviewer,unknown,yes,yes,yes,fully exported (3 files),skills/agent-attached/hermes/accessibility-discovery-reviewer,readable local files copied
ai-chatbot-planner,ai-chatbot-planner,"--- name: ai-chatbot-planner description: plan bounded website chatbots for lightspeed client projects, including chatbot purpose, audience, approved sources, exclusion lists, behaviour rules, fallback wording, escalation, privacy notes, launch gates, test scripts and first draft system prompts. use when a user asks whether a chatbot is appropriate, how to scope a chatbot, how to prepare ai engine or wordpress chatbot requirements, or how to define safe chatbot behaviour.",agent-attached,/root/.codex/skills/hermes/ai-chatbot-planner,unknown,yes,yes,yes,fully exported (8 files),skills/agent-attached/hermes/ai-chatbot-planner,readable local files copied
ai-governance-documentor,ai-governance-documentor,"--- name: ai-governance-documentor description: create ai governance discovery summaries, lightweight ai policies, operational governance guides, governance matrices, role maps and approved prompt templates for lightspeed website, content and chatbot projects. use when a user provides discovery answers, risk context, business notes or asks to document ai use cases, approval workflows, chatbot behaviour, source controls or human review rules.",agent-attached,/root/.codex/skills/hermes/ai-governance-documentor,unknown,yes,yes,yes,fully exported (8 files),skills/agent-attached/hermes/ai-governance-documentor,readable local files copied
ai-readiness-assessor,ai-readiness-assessor,"--- name: ai-readiness-assessor description: assess website ai readiness for lightspeed client projects using checklist answers, website urls, audit exports, discovery notes or uploaded evidence. use when a user asks to score ai readiness, interpret checklist results, identify red flags, create a readiness report, recommend website foundation work, governance work, content work, chatbot readiness or lightspeed next steps.",agent-attached,/root/.codex/skills/hermes/ai-readiness-assessor,unknown,yes,yes,yes,fully exported (7 files),skills/agent-attached/hermes/ai-readiness-assessor,readable local files copied
content-audit-strategist,content-audit-strategist,"--- name: content-audit-strategist description: Run website content audits, content inventories, content gap reviews, and content strategy discovery for LightSpeed website projects. Use when the user wants to assess existing website content quality, identify duplication or decay, map content gaps, organize findings into a structured audit, or connect current-state content evidence to recommended content strategy directions.",agent-attached,/root/.codex/skills/hermes/content-audit-strategist,unknown,yes,yes,yes,fully exported (3 files),skills/agent-attached/hermes/content-audit-strategist,readable local files copied
content-collection-planner,content-collection-planner,"--- name: content-collection-planner description: create tailored content collection checklists, content gap reports, client request emails and downloadable folder structures for lightspeed website, governance and chatbot projects. use when a user needs generic website content requests, sector add-ons for ecommerce, tourism, publishing, education, memberships or subscriptions, or source-of-truth planning for ai-assisted content and chatbot grounding.",agent-attached,/root/.codex/skills/hermes/content-collection-planner,unknown,yes,yes,yes,fully exported (8 files),skills/agent-attached/hermes/content-collection-planner,readable local files copied
design-md-generator,design-md-generator,"--- name: design-md-generator description: The Design MD Generator creates and updates `DESIGN.md` files for LightSpeed projects, transforming design evidence from Figma and GitHub into a portable design contract for WordPress themes. Use this skill when starting a new project or auditing an existing one, ensuring that your design files are validated and aligned with implementation realities.",agent-attached,/root/.codex/skills/hermes/design-md-generator,unknown,yes,yes,yes,fully exported (14 files),skills/agent-attached/hermes/design-md-generator,readable local files copied
discovery-onboarding,discovery-onboarding,"--- name: discovery-onboarding description: collect and persist reusable lightspeed website discovery defaults in memory before discovery workflows. use when a lightspeed teammate starts a client website discovery task, asks to create a discovery pack or summary, or a related discovery skill is blocked by missing client, website, goal, output, approval, or standing project defaults. route away from this skill for run-specific source gathering, draft review, specialist audits, launch planning, or",agent-attached,/root/.codex/skills/hermes/discovery-onboarding,unknown,yes,yes,yes,fully exported (5 files),skills/agent-attached/hermes/discovery-onboarding,readable local files copied
discovery-pack-review,discovery-pack-review,"--- name: discovery-pack-review description: Review a website discovery pack, section draft, or client-ready summary for missing template sections, classification mistakes, internal-versus-client boundary issues, and unresolved template-field coverage before finalizing or sharing it.",agent-attached,/root/.codex/skills/hermes/discovery-pack-review,unknown,yes,yes,yes,fully exported (3 files),skills/agent-attached/hermes/discovery-pack-review,readable local files copied
discovery-source-intake,discovery-source-intake,"--- name: discovery-source-intake description: gather and normalise current-project evidence for lightspeed website discovery work before drafting discovery packs, client summaries, follow-up questions, source triage, section drafts, or handoff notes. use when inputs are scattered across pasted notes, uploaded files, google drive, email, asana, github, figma/design notes, meeting transcripts, bug or feedback reports, or mixed links. route durable reusable defaults to discovery-onboarding, existi",agent-attached,/root/.codex/skills/hermes/discovery-source-intake,unknown,yes,yes,yes,fully exported (4 files),skills/agent-attached/hermes/discovery-source-intake,readable local files copied
