skill_name,agents_count,agents_list,current_location,tier_target,consolidation_priority,override_needed,phase_c_week,estimated_hours,notes
frontend-skill,16,"ai-readiness-estimator, website-content-strategist, website-scope-estimator, zendesk-support, client-website-discovery, design-partner, harvest-analytical, linear-advisor, pagespeed, playwright-testing, prd, prd-factory-planner, proposal-desk, tour-operator, woo-config, wp-config",scattered (agent-local),Tier 0,CRITICAL,no,5,6,"UNIVERSAL - in every agent; immediate consolidation to root"
documents,6,"harvest-analytical, linear-advisor, prd, prd-factory-planner, tour-operator, woo, wp",root + agent-local copies,Tier 0,CRITICAL,no,6,3,"Directory-installed in root; remove local copies from 6 agents"
pdf,6,"harvest-analytical, linear-advisor, prd, prd-factory-planner, tour-operator, woo, wp",root + agent-local copies,Tier 0,CRITICAL,no,6,3,"Directory-installed in root; remove local copies"
presentations,5,"harvest-analytical, linear-advisor, prd, prd-factory-planner, tour-operator",root + agent-local copies,Tier 0,CRITICAL,no,6,2.5,"Directory-installed in root; remove local copies"
spreadsheets,5,"harvest-analytical, linear-advisor, prd, prd-factory-planner, tour-operator",root + agent-local copies,Tier 0,CRITICAL,no,6,2.5,"Directory-installed in root; remove local copies"
plugin-creator,3,"linear-advisor, prd, prd-factory-planner",agent-local,Tier 0,HIGH,no,6-7,3,"Move to root; used by 3+ agents for plugin development"
skill-creator,3,"linear-advisor, prd, prd-factory-planner",agent-local,Tier 0,HIGH,no,6-7,3,"Move to root; used by 3+ agents for skill development"
skill-installer,3,"linear-advisor, prd, prd-factory-planner",agent-local,Tier 0,HIGH,no,6-7,3,"Move to root; used by 3+ agents for skill installation"
imagegen,3+,"linear-advisor, prd, prd-factory-planner, tour-operator, woo, wp",platform-managed,Tier 0 (ref),MEDIUM,no,7,0,"Platform-managed; agents reference only; no consolidation needed"
openai-docs,3+,"linear-advisor, prd, prd-factory-planner, tour-operator, woo, wp",platform-managed,Tier 0 (ref),MEDIUM,no,7,0,"Platform-managed; agents reference only; no consolidation needed"
wordpress-accessibility-checker,3,"tour-operator, woo-config, wp-config",agent-attached (identical),Tier 1,HIGH,yes,7,4,"Identical implementation across 3 agents; consolidate + override config for domain-specific checks"
hermes,4,"design-partner, pagespeed, playwright-testing, prd",agent-attached (design-focused),Tier 1,MEDIUM,yes,5-6,6,"Design framework used by 4 agents; audit whether to move to root or keep design-partner-local; potential agent customizations"
lightspeed-prd-generator,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,8,"23 Lightspeed skills duplicated (92% overlap); consolidate to root `lightspeed-prd-base` + override config"
lightspeed-prd-task-manager,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
lightspeed-implementation-plan-generator,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
lightspeed-project-researcher,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
lightspeed-github-issue-drafter,2,"prd-agent, prd-factory-planner-agent",agent-attached (duplicated),Tier 1,CRITICAL,yes,7,—,"Part of 23-skill lightspeed cluster; see lightspeed-prd-generator"
