skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
imagegen,imagegen,"Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts.",local,/root/.codex/skills/.system/imagegen,unknown,true,true,true,fully exported,skills/local/imagegen,Readable local folder exported; files successfully exported: 12.
openai-docs,openai-docs,"Use when the user asks how to build with OpenAI products or APIs, asks about Codex itself or choosing Codex surfaces, needs up-to-date official documentation with citations, help choosing the latest model for a use case, or model upgrade and prompt-upgrade guidance.",local,/root/.codex/skills/.system/openai-docs,unknown,true,true,true,fully exported,skills/local/openai-docs,Readable local folder exported; files successfully exported: 10.
plugin-creator,plugin-creator,"Create and scaffold plugin directories for Codex with a required .codex-plugin/plugin.json, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default.",local,/root/.codex/skills/.system/plugin-creator,unknown,true,true,true,fully exported,skills/local/plugin-creator,Readable local folder exported; files successfully exported: 10.
skill-creator,skill-creator,Guide for creating effective skills. Use when users want to create a new skill or update an existing skill.,local,/root/.codex/skills/.system/skill-creator,unknown,true,true,true,fully exported,skills/local/skill-creator,Readable local folder exported; files successfully exported: 9.
skill-installer,skill-installer,Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path.,local,/root/.codex/skills/.system/skill-installer,unknown,true,true,true,fully exported,skills/local/skill-installer,Readable local folder exported; files successfully exported: 8.
Presentations,Presentations,Create or edit PowerPoint or Google Slides decks.,local,/root/.codex/skills/builtins/presentations,unknown,true,true,true,fully exported,skills/local/Presentations,Readable local folder exported; files successfully exported: 112.
Spreadsheets,Spreadsheets,"Create, modify, analyze, visualize, or work with spreadsheet files or Google Sheets-targeted artifacts.",local,/root/.codex/skills/builtins/spreadsheets,unknown,true,true,true,fully exported,skills/local/Spreadsheets,Readable local folder exported; files successfully exported: 12.
documents,documents,"Create, edit, redline, and comment on .docx, Word, and Google Docs-targeted document artifacts inside the container.",local,/root/.codex/skills/builtins/documents,unknown,true,true,true,fully exported,skills/local/documents,Readable local folder exported; files successfully exported: 76.
pdf,pdf,"Read, create, inspect, render, and verify PDF files where visual layout matters.",local,/root/.codex/skills/builtins/pdf,unknown,true,true,true,fully exported,skills/local/pdf,Readable local folder exported; files successfully exported: 3.
frontend-skill,frontend-skill,"Use when the task asks for a visually strong landing page, website, app, prototype, demo, or game UI.",local,/root/.codex/skills/frontend-skill,unknown,true,true,true,fully exported,skills/local/frontend-skill,Readable local folder exported; files successfully exported: 2.
