skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
Presentations,Presentations,Create or edit PowerPoint or Google Slides decks,directory-installed,/root/.codex/skills/builtins/presentations,unknown,yes,yes,yes,fully exported,skills/local/presentations,112 files exported
Spreadsheets,Spreadsheets,"Use this skill when a user requests to create, modify, analyze, visualize, or work with spreadsheet files (`.xlsx`, `.xls`, `.csv`, `.tsv`) or Google Sheets-targeted spreadsheet artifacts with formulas, formatting, charts, tables, and recalculation.",directory-installed,/root/.codex/skills/builtins/spreadsheets,unknown,yes,yes,yes,fully exported,skills/local/spreadsheets,12 files exported
documents,documents,"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",directory-installed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/local/documents,76 files exported
estimator-onboarding,estimator-onboarding,"Collect first-run user defaults needed for recurring website estimate and proposal work, persist them in Memory, and resume the user's original request.",agent-attached,/root/.codex/skills/hermes/estimator-onboarding,unknown,yes,yes,yes,fully exported,skills/agent-attached/estimator-onboarding,3 files exported
figma-code-connect,figma-code-connect,"Creates and maintains Figma Code Connect template files that map Figma components to code snippets. Use when the user mentions Code Connect, Figma component mapping, design-to-code translation, or asks to create/update .figma.ts or .figma.js files.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-code-connect,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-code-connect,3 files exported
figma-create-new-file,figma-create-new-file,"**MANDATORY prerequisite** — you MUST invoke this skill BEFORE every `create_new_file` tool call. NEVER call `create_new_file` directly without loading this skill first. Trigger whenever the user wants a new blank Figma file — a new design, FigJam, or Slides file — or when you need a fresh file before calling `use_figma`. Usage — /figma-create-new-file [editorType] [fileName] (e.g. /figma-create-new-file figjam My Whiteboard, /figma-create-new-file slides Q3 Review)",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-create-new-file,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-create-new-file,1 files exported
figma-generate-design,figma-generate-design,"Use this skill alongside figma-use when the task involves translating an application page, view, or multi-section layout into Figma. Triggers: 'write to Figma', 'create in Figma from code', 'push page to Figma', 'take this app/page and build it in Figma', 'create a screen', 'build a landing page in Figma', 'update the Figma screen to match code', 'convert this modal/dialog/drawer/panel to Figma'. This is the preferred workflow skill whenever the user wants to build or update a full page, modal, dialog, drawer, sidebar, panel, or any composed multi-section view in Figma from code or a description. Discovers design system components, variables, and styles from Code Connect files, existing screens, and library search, then imports them and assembles views incrementally section-by-section using design system tokens instead of hardcoded values.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-design,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-design,3 files exported
figma-generate-diagram,figma-generate-diagram,"MANDATORY prerequisite — load this skill BEFORE every `generate_diagram` tool call. NEVER call `generate_diagram` directly without loading this skill first. Trigger whenever the user asks to create, generate, draw, render, sketch, or build a diagram — flowchart, architecture diagram, sequence diagram, ERD or entity-relationship diagram, state diagram or state machine, gantt chart, or timeline. Also trigger when the user mentions Mermaid syntax or wants a system architecture, decision tree, dependency graph, API call flow, auth handshake, schema, or pipeline visualized in FigJam. Routes to type-specific guidance, sets universal Mermaid constraints, and tells you when to use a different diagram type or skip the tool entirely (mindmaps, pie charts, class diagrams, etc.).",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-diagram,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-diagram,8 files exported
figma-generate-library,figma-generate-library,"Build or update a professional-grade design system in Figma from a codebase. Use when the user wants to create variables/tokens, build component libraries, create individual components with proper variant sets and variable bindings, set up theming (light/dark modes), document foundations, or reconcile gaps between code and Figma. Also use when the user asks to create or generate any component in Figma — even a single one — since components require proper variable foundations, variant states, and design token bindings to be production-quality. This skill teaches WHAT to build and in WHAT ORDER — it complements the `figma-use` skill which teaches HOW to call the Plugin API. Both skills should be loaded together.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-generate-library,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-generate-library,17 files exported
figma-implement-motion,figma-implement-motion,"Translates Figma motion and animations into production-ready application code. Use when implementing animation/motion from a Figma design — user mentions ""implement this motion"", ""add animation from Figma"", ""animate this component"", provides a Figma URL whose node is animated, or when `get_design_context` returns motion data or instructs you to call `get_motion_context`.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/figma/local/skills/figma-implement-motion,unknown,yes,yes,yes,fully exported,skills/plugin-provided/figma/figma-implement-motion,7 files exported
