skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
Presentations,Presentations,Create or edit PowerPoint or Google Slides decks,platform-managed,/root/.codex/skills/builtins/presentations,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/builtins/presentations,112 files exported
Spreadsheets,Spreadsheets,"Use this skill when a user requests to create, modify, analyze, visualize, or work with spreadsheet files (`.xlsx`, `.xls`, `.csv`, `.tsv`) or Google Sheets-targeted spreadsheet artifacts with formulas, formatting, charts, tables, and recalculation.",platform-managed,/root/.codex/skills/builtins/spreadsheets,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/builtins/spreadsheets,12 files exported
documents,documents,"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",platform-managed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/builtins/documents,76 files exported
evidence-locking,evidence-locking,"Use when the output is fact-sensitive and the agent must separate confirmed evidence from assumptions, contradictions, stale inputs, and open questions before drafting or reviewing planning work.",agent-attached,/root/.codex/skills/hermes/evidence-locking,unknown,yes,yes,yes,fully exported,skills/agent-attached/hermes/evidence-locking,2 files exported
frontend-skill,frontend-skill,"Use when the task asks for a visually strong landing page, website, app, prototype, demo, or game UI. This skill enforces restrained composition, image-led hierarchy, cohesive content structure, and tasteful motion while avoiding generic cards, weak branding, and UI clutter.",directory-installed,/root/.codex/skills/frontend-skill,unknown,yes,yes,yes,fully exported,skills/local/directory-installed/frontend-skill,2 files exported
github:gh-address-comments,github:gh-address-comments,"Address actionable GitHub pull request review feedback. Use when the user wants to inspect unresolved review threads, requested changes, or inline review comments on a PR, then implement selected fixes. Use the GitHub app for PR metadata and flat comment reads, and use the bundled GraphQL script via `gh` whenever thread-level state, resolution status, or inline review context matters.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-address-comments,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github/gh-address-comments,6 files exported
github:gh-fix-ci,github:gh-fix-ci,"Use when a user asks to debug or fix failing GitHub PR checks that run in GitHub Actions. Use the GitHub app from this plugin for PR metadata and patch context, and use `gh` for Actions check and log inspection before implementing any approved fix.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-fix-ci,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github/gh-fix-ci,6 files exported
github:github,github:github,"Triage and orient GitHub repository, pull request, and issue work through the connected GitHub app. Use when the user asks for general GitHub help, wants PR or issue summaries, or needs repository context before choosing a more specific GitHub workflow.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/github,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github/github,4 files exported
github:yeet,github:yeet,"Publish local changes to GitHub by confirming scope, committing intentionally, pushing the branch, and opening a draft PR through the GitHub app from this plugin, with `gh` used only as a fallback where connector coverage is insufficient.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/yeet,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github/yeet,5 files exported
google-drive:google-docs,google-drive:google-docs,"Connector-first Google Docs creation and editing in local Codex plugin sessions, with direct native create and batchUpdate workflows for simple docs, DOCX-first import for polished deliverables, target-document checks, smart chip and building-block reconstruction, connector-readback verification, and reference routing for formatting, citations, tables, and write-safety.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-docs,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive/google-docs,19 files exported
google-drive:google-drive,google-drive:google-drive,"Use connected Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work. Use when the user wants to find, fetch, organize, share, export, copy, or delete Drive files, or summarize and edit Google Docs, Google Sheets, and Google Slides through one unified Google Drive plugin.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive/google-drive,10 files exported
google-drive:google-drive-comments,google-drive:google-drive-comments,"Write, reply to, and resolve Google Drive comments on Docs, Sheets, Slides, and Drive files with evidence-backed location context. Use when the user asks to leave comments, review a file with comments, respond to comment threads, or resolve Drive comments.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive-comments,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive/google-drive-comments,2 files exported
google-drive:google-sheets,google-drive:google-sheets,"Analyze and edit connected Google Sheets with range precision. Use when the user wants to create Google Sheets, find a spreadsheet, inspect tabs or ranges, search rows, plan formulas, create or repair charts, clean or restructure tables, write concise summaries, or make explicit cell-range updates.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-sheets,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive/google-sheets,11 files exported
google-drive:google-slides,google-drive:google-slides,"Google Slides work for finding, reading, summarizing, creating, importing, template following, visual cleanup, source-deck adaptation, structural repair, and content edits in native Slides decks.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-slides,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive/google-slides,19 files exported
imagegen,imagegen,"Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an existing image, or derive visual variants from references, and the output should be a bitmap asset rather than repo-native code or vector. Do not use when the task is better handled by editing existing SVG/vector/code-native assets, extending an established icon or logo system, or building the visual directly in HTML/CSS/canvas.",platform-managed,/root/.codex/skills/.system/imagegen,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/system/imagegen,12 files exported
