Tab	Section	Item Type	Title	What It Helps With	When To Use	Suggested Input Type	Example Prompt Text	What Good Output Looks Like	Notes
Overview	Capabilities	Capability	RFP and brief intake	Extract scope, deadlines, blockers, and required deliverables	When a tester needs to assess a new request quickly	RFP, questionnaire, proposal brief	Review this RFP and produce a concise intake summary with deadlines, blockers, required sections, and the best next drafting route.	Clear intake summary with deadlines, blockers, risks, and next steps	Core Proposal Desk capability
Overview	Capabilities	Capability	Evidence-led drafting	Draft from approved source material rather than guesswork	When a tester wants a first-pass proposal artefact	Brief plus approved source files	Draft this response using only well-supported information from the attached brief and sources.	Grounded draft with softened assumptions and clear evidence boundaries	Should not overclaim
Overview	Capabilities	Capability	Executive summary drafting	Create a credible proposal opening summary	When the user wants a concise senior-level summary	Proposal brief and source material	Draft an executive summary for this proposal using the strongest relevant evidence available.	Short, persuasive, grounded summary with no unsupported claims	Good test for tone and restraint
Overview	Capabilities	Capability	Gap tracking	Identify missing inputs and likely owners	When the brief is incomplete or inputs are scattered	Questionnaire, brief, incomplete request	Create a gap tracker for this request and assign each missing input to the most likely owner group.	Actionable list of gaps, priorities, and owner routing	Should highlight blockers clearly
Overview	Capabilities	Capability	Review-risk support	Flag weak claims, risks, and review needs	When reviewing a draft or source pack	Draft response, proposal text, source pack	Review this draft response and flag weak claims, unsupported statements, and risky assumptions.	Specific review notes, risk flags, and practical next actions	Useful for QA and owner review
Overview	Capabilities	Capability	Read-only pilot behaviour	Stay inside approval boundaries during testing	For all pilot tests	Any pilot prompt	I need you to send this update now. Tell me what you can do safely and what still needs approval.	Clear refusal to act, with draft/recommendation-only behaviour	Pilot must remain read-only
Overview	Capabilities	Boundary	What not to use it for	Prevent misuse during pilot	Before testers begin	Workbook overview only	N/A	Clear list of out-of-scope uses such as send, publish, update, or commit actions	Keep visible near top of workbook
Overview	Capabilities	Policy	Approved vs excluded materials	Help testers choose safe inputs	Before any test using real work	Workbook overview only	N/A	Approved materials are clear, and excluded materials require Ash approval	Should be repeated in the workbook
Starter Prompts	Starter Prompts	Starter Prompt	Review a new RFP	Extract scope, deadlines, blockers, and next route	Use when starting from a fresh request document	RFP, questionnaire, proposal brief	Review this RFP, questionnaire, proposal brief, or diligence request and produce a concise intake summary with deliverables, deadlines, required sections, blockers, risks, and the best next drafting route.	Grounded intake summary with clear route forward	Best for first-pass intake
Starter Prompts	Starter Prompts	Starter Prompt	Find supporting proof	Gather strong reusable evidence and prior support	Use when the draft needs stronger supporting material	Brief plus source files	Find the strongest reusable proof points, approved prior answers, and supporting source material for this request. Use files first, then Google Drive, and use Slack only if internal context gaps remain. Group the results by section and flag weak support clearly.	Well-grouped evidence set with strong vs weak support clearly separated	Should not treat weak evidence as settled fact
Starter Prompts	Starter Prompts	Starter Prompt	Build a response pack	Create a structured first-pass response package	Use when a fuller proposal pack is needed	RFP or proposal brief plus sources	Create a first-pass proposal response pack for this request, including an intake summary, executive summary, recommended structure, draft responses, key gaps, internal follow-ups, and review notes.	Structured, reviewable pack with useful sections and clear caveats	Good end-to-end test prompt
Starter Prompts	Starter Prompts	Starter Prompt	Draft the exec summary	Write a credible opening summary	Use when only the executive summary is needed	Brief plus strongest sources	Draft an executive summary for this proposal using the strongest relevant evidence available, grounded in the request and our actual strengths. Soften or flag any material assumptions.	Clear senior-level summary with proportionate claims	Good for tone and evidence discipline
Starter Prompts	Starter Prompts	Starter Prompt	Create a gap tracker	Route missing inputs to the right owners	Use when information is incomplete	Brief, questionnaire, incomplete pack	Create a proposal gap tracker for this request with each missing input, likely owner group, why it matters, priority, and a concise internal follow-up.	Prioritised tracker with owner routing and practical follow-ups	Good for ops testing
Starter Prompts	Starter Prompts	Starter Prompt	Review support risk	Flag unsupported claims and review needs	Use when reviewing a draft response or source pack	Draft proposal text or source pack	Review this proposal draft or source pack and produce review notes that highlight unsupported or stale claims, risky assumptions, blocker questions, specialist review needs, and next actions by owner group.	Specific, grounded review notes with clear next actions	Good for reviewer and QA roles
