skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
Presentations,unknown,Create or edit PowerPoint or Google Slides decks,agent-attached,/root/.codex/skills/builtins/presentations,unknown,yes,yes,yes,fully exported,skills/agent-attached/builtins/presentations,Built-in skill exposed as readable local files
Spreadsheets,unknown,"Use this skill when a user requests to create, modify, analyze, visualize, or work with spreadsheet files (`.xlsx`, `.xls`, `.csv`, `.tsv`) or Google Sheets-targeted spreadsheet artifacts with formulas, formatting, charts, tables, and recalculation.",agent-attached,/root/.codex/skills/builtins/spreadsheets,unknown,yes,yes,yes,fully exported,skills/agent-attached/builtins/spreadsheets,Built-in skill exposed as readable local files
audit-qa-validator,unknown,"review drafted pagespeed, lighthouse, core web vitals, web performance, or website speed audit reports before delivery. use when a user provides a draft audit, client-ready performance report, developer handoff, re-audit summary, or performance findings document and asks for qa, validation, gap checking, consistency review, evidence review, delivery readiness, or revision suggestions. checks required sections, weak evidence, unsupported claims, invented metrics, recommendation priority, missing client context, missing limitations, and structure. returns concrete revision actions rather than generic feedback.",agent-attached,/root/.codex/skills/hermes/audit-qa-validator,unknown,yes,yes,yes,fully exported,skills/agent-attached/hermes/audit-qa-validator,Hermes attached skill exposed as readable local files
client-site-context-manager,unknown,"normalize and maintain lightweight, reusable client and site context for website audit workflows. use when a user asks to create, update, clean, standardize, retrieve, or reconcile durable audit context for clients, sites, page groups, business priorities, platform constraints, recurring notes, or naming conventions. use before or alongside website performance, accessibility, technical seo, security, hosting, content, ai-readiness, launch, or post-launch audits when client/site context is missing, inconsistent, duplicated, or scattered. avoid using for one-off audit urls, temporary metrics, current audit findings, speculative causes, or single-run observations that should remain in the audit report.",agent-attached,/root/.codex/skills/hermes/client-site-context-manager,unknown,yes,yes,yes,fully exported,skills/agent-attached/hermes/client-site-context-manager,Hermes attached skill exposed as readable local files
documents,unknown,"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",agent-attached,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/agent-attached/builtins/documents,Built-in skill exposed as readable local files
drive-report-organizer,unknown,"apply consistent google drive naming and folder conventions for pagespeed audit reports, lighthouse reports, re-audits, comparison docs, raw exports, client folders, and related performance files. use when organising, naming, creating, moving, or suggesting storage locations for google drive audit documents; when shared-drive context is available; or when avoiding duplicate or inconsistent client/site/report naming patterns.",agent-attached,/root/.codex/skills/hermes/drive-report-organizer,unknown,yes,yes,yes,fully exported,skills/agent-attached/hermes/drive-report-organizer,Hermes attached skill exposed as readable local files
frontend-skill,unknown,"Use when the task asks for a visually strong landing page, website, app, prototype, demo, or game UI. This skill enforces restrained composition, image-led hierarchy, cohesive content structure, and tasteful motion while avoiding generic cards, weak branding, and UI clutter.",agent-attached,/root/.codex/skills/frontend-skill,unknown,yes,yes,yes,fully exported,skills/agent-attached/frontend-skill,Attached frontend skill exposed as readable local files
google-docs,unknown,"Connector-first Google Docs creation and editing in local Codex plugin sessions, with direct native create and batchUpdate workflows for simple docs, DOCX-first import for polished deliverables, target-document checks, smart chip and building-block reconstruction, connector-readback verification, and reference routing for formatting, citations, tables, and write-safety.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-docs,unknown,yes,yes,yes,fully exported,skills/plugin-provided/google-drive/google-docs,Google Drive plugin skill exposed as readable local files
google-drive,unknown,"Use connected Google Drive as the single entrypoint for Drive, Docs, Sheets, and Slides work. Use when the user wants to find, fetch, organize, share, export, copy, or delete Drive files, or summarize and edit Google Docs, Google Sheets, and Google Slides through one unified Google Drive plugin.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive,unknown,yes,yes,yes,fully exported,skills/plugin-provided/google-drive/google-drive,Google Drive plugin skill exposed as readable local files
google-drive-comments,unknown,"Write, reply to, and resolve Google Drive comments on Docs, Sheets, Slides, and Drive files with evidence-backed location context. Use when the user asks to leave comments, review a file with comments, respond to comment threads, or resolve Drive comments.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive-comments,unknown,yes,yes,yes,fully exported,skills/plugin-provided/google-drive/google-drive-comments,Google Drive plugin skill exposed as readable local files
