skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
github:gh-address-comments,GitHub PR Comment Handler,"Use this skill when the user wants to work through requested changes on a GitHub pull request. Use the GitHub app from this plugin for PR metadata and patch context, but treat thread-aware review data as a `gh api graphql` problem because the connector comment surface is flat and does not preserve full review-thread state.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-address-comments,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github__gh-address-comments,6 files exported
github:gh-fix-ci,GitHub Actions CI Fix,Use this skill when the task is specifically about failing GitHub Actions checks on a pull request. This workflow is hybrid by design:,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-fix-ci,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github__gh-fix-ci,6 files exported
github:github,GitHub,"Use this skill as the umbrella entrypoint for general GitHub work in this plugin. It should decide whether the task stays in repo and PR triage or should be handed off to a more specific review, CI, or publish workflow.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/github,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github__github,4 files exported
github:yeet,GitHub Publish Changes,"Use this skill only when the user explicitly wants the full publish flow from the local checkout: branch setup if needed, staging, commit, push, and opening a pull request.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/yeet,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/github__yeet,5 files exported
google-drive:google-docs,Google Docs,"Use this skill for Google Docs work in Codex local-plugin sessions. For blank or basic native Google Docs, create the doc directly with the Google Drive connector. Use `[@documents](plugin://documents@openai-primary-runtime)` plus DOCX import only when the requested deliverable needs polished document authoring, complex layout, visual design, image/figure placement, page-level QA, branded styling, or export-quality fidelity.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-docs,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive__google-docs,19 files exported
google-drive:google-drive,Google Drive,"Use this as the top-level router for Google file work inside the unified Google Drive plugin. Do not route the user toward separate Google Docs, Google Sheets, or Google Slides plugins.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive__google-drive,10 files exported
google-drive:google-drive-comments,Google Drive Comments,"Use this skill for comment workflows in the unified Google Drive plugin. Drive comments can apply to Docs, Sheets, Slides, and generic Drive files, but API-created comments may appear unanchored in the Google editor UI. Every new top-level comment must therefore include enough surface-specific evidence for the reader to find the target without relying on native UI anchoring.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-drive-comments,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive__google-drive-comments,2 files exported
google-drive:google-sheets,Google Sheets,"Use this skill to keep spreadsheet work grounded in the exact spreadsheet, sheet, range, headers, and formulas that matter.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-sheets,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive__google-sheets,11 files exported
google-drive:google-slides,Google Slides,Use this skill for Google Slides work in Codex local-plugin sessions.,plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-slides,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/google-drive__google-slides,19 files exported
linear:linear,Linear,"name: linear description: Manage issues, projects & team workflows in Linear. Use when the user wants to read, create or updates tickets in Linear. ---",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/linear/local/skills/linear,unknown,yes,yes,yes,fully exported,skills/local/plugin-provided/linear__linear,5 files exported
imagegen,Image Generation Skill,"Generates or edits images for the current project (for example website assets, game assets, UI mockups, product mockups, wireframes, logo design, photorealistic images, or infographics).",platform-managed,/root/.codex/skills/.system/imagegen,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/imagegen,12 files exported
openai-docs,OpenAI Docs,"Use this skill directly for docs-only questions, citations, model/API guidance, conceptual explanations, and examples that do not require building or running an API-backed artifact.",platform-managed,/root/.codex/skills/.system/openai-docs,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/openai-docs,10 files exported
plugin-creator,Plugin Creator,"name: plugin-creator description: Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. Use when Codex needs to create a new personal plugin, add optional plugin structure, generate or update marketplace entries for plugin ordering and availability metadata, or update an existing local plugin during development with the CLI-driven cachebuster and reinstall flow.",platform-managed,/root/.codex/skills/.system/plugin-creator,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/plugin-creator,10 files exported
skill-creator,Skill Creator,"name: skill-creator description: Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Codex's capabilities with specialized knowledge, workflows, or tool integrations. metadata: short-description: Create or update a skill ---",platform-managed,/root/.codex/skills/.system/skill-creator,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/skill-creator,9 files exported
skill-installer,Skill Installer,"name: skill-installer description: Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos). metadata: short-description: Install curated skills from openai/skills or other repos ---",platform-managed,/root/.codex/skills/.system/skill-installer,unknown,yes,yes,yes,fully exported,skills/local/platform-managed/skill-installer,8 files exported
documents,Documents Skill (Read • Create • Edit • Redline • Comment),"Use this skill when you need to create or modify `.docx`, Word, or Google Docs-targeted document artifacts **in this container environment** and verify them visually.",directory-installed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/local/directory-installed/documents,76 files exported
