skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
imagegen,Image Generation Skill,"Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an existing image, or derive visual variants from references, and the output should be a bitmap asset rather than repo-native code or vector. Do not use when the task is better handled by editing existing SVG/vector/code-native assets, extending an established icon or logo system, or building the visual directly in HTML/CSS/canvas.",platform-managed,/root/.codex/skills/.system/imagegen,unknown,yes,yes,yes,fully exported,skills/platform-managed/imagegen,12 of 12 files exported from readable folder.
openai-docs,OpenAI Docs,"Use when the user asks how to build with OpenAI products or APIs, asks about Codex itself or choosing Codex surfaces, needs up-to-date official documentation with citations, help choosing the latest model for a use case, or model upgrade and prompt-upgrade guidance; use OpenAI docs MCP tools for non-Codex docs questions, use the Codex manual helper first for broad Codex self-knowledge, and restrict fallback browsing to official OpenAI domains.",platform-managed,/root/.codex/skills/.system/openai-docs,unknown,yes,yes,yes,fully exported,skills/platform-managed/openai-docs,10 of 10 files exported from readable folder.
plugin-creator,Plugin Creator,"Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. Use when Codex needs to create a new personal plugin, add optional plugin structure, generate or update marketplace entries for plugin ordering and availability metadata, or update an existing local plugin during development with the CLI-driven cachebuster and reinstall flow.",platform-managed,/root/.codex/skills/.system/plugin-creator,unknown,yes,yes,yes,fully exported,skills/platform-managed/plugin-creator,10 of 10 files exported from readable folder.
skill-creator,Skill Creator,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Codex's capabilities with specialized knowledge, workflows, or tool integrations.",platform-managed,/root/.codex/skills/.system/skill-creator,unknown,yes,yes,yes,fully exported,skills/platform-managed/skill-creator,9 of 9 files exported from readable folder.
skill-installer,Skill Installer,"Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).",platform-managed,/root/.codex/skills/.system/skill-installer,unknown,yes,yes,yes,fully exported,skills/platform-managed/skill-installer,8 of 8 files exported from readable folder.
documents,Documents Skill (Read • Create • Edit • Redline • Comment),"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",directory-installed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/directory-installed/documents,76 of 76 files exported from readable folder.
pdf,PDF Skill,"Read, create, inspect, render, and verify PDF files where visual layout matters. Use Poppler rendering plus Python tools such as reportlab, pdfplumber, and pypdf for generation and extraction.",directory-installed,/root/.codex/skills/builtins/pdf,unknown,yes,yes,yes,fully exported,skills/directory-installed/pdf,3 of 3 files exported from readable folder.
presentations,Slides Skill,Create or edit PowerPoint or Google Slides decks,directory-installed,/root/.codex/skills/builtins/presentations,unknown,yes,yes,yes,fully exported,skills/directory-installed/presentations,112 of 112 files exported from readable folder.
spreadsheets,Spreadsheets skill (Create • Edit • Analyze • Visualize),"Use this skill when a user requests to create, modify, analyze, visualize, or work with spreadsheet files (`.xlsx`, `.xls`, `.csv`, `.tsv`) or Google Sheets-targeted spreadsheet artifacts with formulas, formatting, charts, tables, and recalculation.",directory-installed,/root/.codex/skills/builtins/spreadsheets,unknown,yes,yes,yes,fully exported,skills/directory-installed/spreadsheets,12 of 12 files exported from readable folder.
frontend-skill,Frontend Skill,"Use when the task asks for a visually strong landing page, website, app, prototype, demo, or game UI. This skill enforces restrained composition, image-led hierarchy, cohesive content structure, and tasteful motion while avoiding generic cards, weak branding, and UI clutter.",local,/root/.codex/skills/frontend-skill,unknown,yes,yes,yes,fully exported,skills/local/frontend-skill,2 of 2 files exported from readable folder.
