Phase	Checklist Item	Owner	Required Before Pilot	Status	Notes
Preparation	Confirm agent mission and intended users	Ash / agent owner	Yes	Not started	
Preparation	Confirm safe pilot scope and non-goals	Ash / agent owner	Yes	Not started	
Preparation	Confirm whether agent is draft-only, live, shared by link, or directory-published	Ash / workspace admin	Yes	Not started	
Preparation	Confirm app connector expectations for each teammate	Ash / workspace admin	Yes	Not started	
Preparation	Confirm write actions are disabled or require explicit approval	Ash / agent owner	Yes	Not started	
Preparation	Add or update the general status and pilot prompt in the agent instructions	Ash / agent owner	Yes	Not started	
Testing	Create or import team test-case TSV into Google Sheets	Ash / PM	Yes	Not started	
Testing	Assign 2 to 4 test cases per pilot user	Ash / PM	Yes	Not started	
Testing	Run tests against real but low-risk examples	Pilot testers	Yes	Not started	
Testing	Capture pass/fail, score, feedback, and examples	Pilot testers	Yes	Not started	
Review	Identify safety failures, permission issues, and missing context patterns	Ash / agent owner	Yes	Not started	
Review	Update instructions, starter prompts, files, or guardrails	Ash / agent owner	Depends	Not started	
Review	Retest failed scenarios	Pilot testers	Yes	Not started	
Rollout	Decide: owner-only, small team pilot, wider rollout, or not ready	Ash	Yes	Not started	
Rollout	Publish or share agent with intended users	Ash / workspace admin	After approval	Not started	
Rollout	Document how teammates should use and report issues	Ash / PM	Yes	Not started	
