Label Name,Current Color,Color Name,Current Family,Aligned,Recommended Color,Recommended Family,Priority,Notes
status:needs-planning,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:needs-triage,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:ready,0E8A16,Dark Green,Green,NO,0DBA3D,Green,1,Standardise to primary green
status:in-progress,1D76DB,Dark Blue,Blue,NO,0969DA,Blue,2,Use primary blue
status:on-hold,F9D0C4,Light Salmon,Orange,YES,F9D0C4,Orange,3,No change
status:needs-design,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
status:needs-design-review,D4C5F9,Light Purple,Purple,PARTIAL,B4A7E8,Purple,2,Standardise to strategy secondary
status:needs-figma-update,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
status:needs-dev,C5DEF5,Very Light Blue,Blue,YES,C5DEF5,Blue,3,No change
status:needs-review,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:needs-qa,FBCA04,Gold Yellow,Yellow,YES,FBCA04,Yellow,3,No change
status:needs-testing,FEF2C0,Pale Yellow,Yellow,NO,F2D06D,Yellow,2,Use tertiary yellow from strategy
status:needs-audit,FEF2C0,Pale Yellow,Yellow,NO,F2D06D,Yellow,2,Use tertiary yellow from strategy
status:needs-documentation,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:in-discussion,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:needs-more-info,BFD4F2,Pale Blue,Blue,YES,BFD4F2,Blue,3,No change
status:blocked,E99695,Light Salmon,Red,NO,F85149,Red,1,Use secondary red from strategy
status:duplicate,E99695,Light Salmon,Red,NO,F85149,Red,1,Use secondary red from strategy
status:wontfix,E1E4E8,Very Light Gray,Gray,YES,E1E4E8,Gray,3,No change
status:done,0E8A16,Dark Green,Green,NO,0DBA3D,Green,1,Standardise to primary green
priority:critical,B60205,Dark Red,Red,PARTIAL,EF3B39,Red,2,Use primary red from strategy
priority:important,D93F0B,Orange-Red,Red,NO,F85149,Red,2,Use secondary red from strategy
priority:normal,0052CC,Strong Blue,Blue,NO,0969DA,Blue,2,Use primary blue from strategy
priority:minor,C2E0C6,Light Green,Orange,NO,F9D0C4,Orange,2,Map to orange deferred/low-priority
type:task,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:bug,9F3734,Dark Red,Red,PARTIAL,EF3B39,Red,2,Use primary red for critical bugs
type:feature,3FB950,Medium Green,Green,PARTIAL,34B71C,Green,2,Use secondary green from strategy
type:design,AB7DF8,Light Purple,Purple,PARTIAL,8957E5,Purple,1,Use primary purple from strategy
type:epic,AB7DF8,Light Purple,Purple,PARTIAL,8957E5,Purple,1,Use primary purple from strategy
type:story,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:improve,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:refactor,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:build,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:automation,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:test,D29922,Gold,Yellow,YES,D29922,Yellow,3,No change
type:performance,D29922,Gold,Yellow,YES,D29922,Yellow,3,No change
type:a11y,DB61A2,Magenta,Purple,NO,8957E5,Purple,1,Use primary purple - semantic mismatch
type:security,9F3734,Dark Red,Red,PARTIAL,EF3B39,Red,2,Use primary red from strategy
type:compatibility,8D4821,Brown,Red,NO,F85149,Red,2,Not in strategy; map to secondary red
type:integration,8D4821,Brown,Teal,NO,2DA39D,Teal,1,Major mismatch - map to teal
type:release,3FB950,Medium Green,Green,PARTIAL,34B71C,Green,2,Use secondary green from strategy
type:maintenance,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:documentation,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:research,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:chore,9198A1,Medium Gray,Gray,NO,B1BAC4,Gray,2,Use secondary gray from strategy
type:audit,9198A1,Medium Gray,Yellow,NO,D29922,Yellow,1,Critical: semantic mismatch
type:qa,D29922,Gold,Yellow,YES,D29922,Yellow,3,No change
type:review,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:ai-ops,4393F8,Medium Blue,Blue,NO,4986E8,Blue,2,Use secondary blue from strategy
type:content-modelling,AB7DF8,Light Purple,Purple,PARTIAL,8957E5,Purple,2,Use primary purple from strategy
