skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
imagegen,Image Generation Skill,"""Generate or edit raster images when the task benefits from AI-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. Use when Codex should create a brand-new image, transform an existing image, or derive visual variants from references, and the output should be a bitmap asset rather than repo-native code or vector. Do not use when the task is better handled by editing existing SVG/vector/code-native assets, extending an established icon or logo system, or building the visual directly in HTML/CSS/canvas.""",directory-installed,/root/.codex/skills/.system/imagegen,unknown,yes,yes,yes,fully exported,skills/directory-installed/system/imagegen,
openai-docs,OpenAI Docs,"""Use when the user asks how to build with OpenAI products or APIs, asks about Codex itself or choosing Codex surfaces, needs up-to-date official documentation with citations, help choosing the latest model for a use case, or model upgrade and prompt-upgrade guidance; use OpenAI docs MCP tools for non-Codex docs questions, use the Codex manual helper first for broad Codex self-knowledge, and restrict fallback browsing to official OpenAI domains.""",directory-installed,/root/.codex/skills/.system/openai-docs,unknown,yes,yes,yes,fully exported,skills/directory-installed/system/openai-docs,
plugin-creator,Plugin Creator,"Create and scaffold plugin directories for Codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. Use when Codex needs to create a new personal plugin, add optional plugin structure, generate or update marketplace entries for plugin ordering and availability metadata, or update an existing local plugin during development with the CLI-driven cachebuster and reinstall flow.",directory-installed,/root/.codex/skills/.system/plugin-creator,unknown,yes,yes,yes,fully exported,skills/directory-installed/system/plugin-creator,
skill-creator,Skill Creator,"Guide for creating effective skills. This skill should be used when users want to create a new skill (or update an existing skill) that extends Codex's capabilities with specialized knowledge, workflows, or tool integrations.",directory-installed,/root/.codex/skills/.system/skill-creator,unknown,yes,yes,yes,fully exported,skills/directory-installed/system/skill-creator,
skill-installer,Skill Installer,"Install Codex skills into $CODEX_HOME/skills from a curated list or a GitHub repo path. Use when a user asks to list installable skills, install a curated skill, or install a skill from another repo (including private repos).",directory-installed,/root/.codex/skills/.system/skill-installer,unknown,yes,yes,yes,fully exported,skills/directory-installed/system/skill-installer,
documents,Documents Skill (Read • Create • Edit • Redline • Comment),"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",directory-installed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/directory-installed/builtins/documents,
pdf,PDF Skill,"""Read, create, inspect, render, and verify PDF files where visual layout matters. Use Poppler rendering plus Python tools such as reportlab, pdfplumber, and pypdf for generation and extraction.""",directory-installed,/root/.codex/skills/builtins/pdf,unknown,yes,yes,yes,fully exported,skills/directory-installed/builtins/pdf,
presentations,Slides Skill,Create or edit PowerPoint or Google Slides decks,directory-installed,/root/.codex/skills/builtins/presentations,unknown,yes,yes,yes,fully exported,skills/directory-installed/builtins/presentations,
spreadsheets,Spreadsheets skill (Create • Edit • Analyze • Visualize),"""Use this skill when a user requests to create, modify, analyze, visualize, or work with spreadsheet files (`.xlsx`, `.xls`, `.csv`, `.tsv`) or Google Sheets-targeted spreadsheet artifacts with formulas, formatting, charts, tables, and recalculation.""",directory-installed,/root/.codex/skills/builtins/spreadsheets,unknown,yes,yes,yes,fully exported,skills/directory-installed/builtins/spreadsheets,
audit,Design Audit,"Audit a broader product experience, journey, workflow, feature area, or design surface to identify UX risks, structural issues, accessibility gaps, WCAG-related concerns, and improvement opportunities; use when the user wants systematic assessment rather than feedback on a single artifact.",agent-attached,/root/.codex/skills/hermes/audit,unknown,yes,yes,yes,fully exported,skills/agent-attached/hermes/audit,
