skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
gravity-forms-auditor,Gravity Forms Auditor,"audit gravity forms setups on wordpress sites through a read-only wordpress mcp app or companion connector. use for gravity forms health checks, fast audits, full preflight audits, form quality reviews, accessibility checks, spam and security reviews, privacy/data retention checks, notification and deliverability audits, add-on/feed/integration reviews, woocommerce enquiry form audits, tour operator enquiry audits, enforced findings registers, readiness scorecards, client-safe summaries, retest reports, and contract handoffs to the gravity-forms-configuration skill. do not use for applying configuration changes or write operations.",agent-attached,/root/.codex/skills/hermes/gravity-forms-auditor,unknown,yes,yes,yes,fully exported,skills/agent-attached/gravity-forms-auditor,43 file(s) exported
gravity-forms-configuration,Gravity Forms Configuration,"configure, validate, troubleshoot, and document gravity forms setups on",agent-attached,/root/.codex/skills/hermes/gravity-forms-configuration,unknown,yes,yes,yes,fully exported,skills/agent-attached/gravity-forms-configuration,157 file(s) exported
woocommerce-audit-orchestrator,WooCommerce Audit Orchestrator,"Use when the user wants a WooCommerce site audit, launch-readiness review, focused store-area assessment, or delivery-ready audit document that must turn connected site evidence into consistent, guardrailed outputs without overstating unverified behaviour.",agent-attached,/root/.codex/skills/hermes/woocommerce-audit-orchestrator,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-audit-orchestrator,3 file(s) exported
woocommerce-implementation-planner,WooCommerce Implementation Planner,"Use when the user wants to turn WooCommerce audit findings, site-discovery",agent-attached,/root/.codex/skills/hermes/woocommerce-implementation-planner,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-implementation-planner,3 file(s) exported
woocommerce-project-onboarding,WooCommerce Project Onboarding,"Collect first-run user defaults needed for repeat WooCommerce audits, planning, and implementation guidance, persist them, and resume the user's original request.",agent-attached,/root/.codex/skills/hermes/woocommerce-project-onboarding,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-project-onboarding,3 file(s) exported
woocommerce-remediation-triage,WooCommerce Remediation Triage,"Turn WooCommerce audit findings, implementation blockers, site-discovery signals, and scoped review notes into a prioritised remediation plan with dependency mapping, delivery sequencing, validation steps, and handoff-ready fix guidance. Use when the user wants to know what to fix first, how to phase the work, which issues are blockers versus follow-up items, or how to convert evidence-backed findings into an implementation-ready action plan.",agent-attached,/root/.codex/skills/hermes/woocommerce-remediation-triage,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-remediation-triage,2 file(s) exported
woocommerce-site-discovery,WooCommerce Site Discovery,"Use when the user asks to inspect a WordPress or WooCommerce site, understand current store state, gather environment signals before planning or auditing, verify whether WooCommerce is present and active, or produce a concise site-discovery summary grounded in {{label:KWV-Dev-Site,id:asdk_app_6a44c27141f08191b52eb3a81ab1c3f0,type:app}} and the agent's attached reference files.",agent-attached,/root/.codex/skills/hermes/woocommerce-site-discovery,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-site-discovery,2 file(s) exported
woocommerce-yoast-auditor,WooCommerce Yoast Auditor,"audit, review, report and hand off yoast seo setups for wordpress websites running the woocommerce core plugin and woocommerce extension plugins. use when work involves yoast seo free, yoast seo premium, yoast woocommerce seo, product seo output, product metadata, product schema, product categories, product tags, attributes, variations, stock, price, offer data, shop archives, filters, canonicals, breadcrumbs, xml sitemaps, robots rules, llms.txt, migration seo readiness, launch qa, completed-change validation, proposed edit review, developer handoffs, or evidence review for woocommerce seo. do not use for non-woocommerce yoast audits or first-time setup; route setup to woocommerce-yoast-configuration or the parent woocommerce configuration agent.",agent-attached,/root/.codex/skills/hermes/woocommerce-yoast-auditor,unknown,yes,yes,yes,fully exported,skills/agent-attached/woocommerce-yoast-auditor,42 file(s) exported
wordpress-accessibility-checker,WordPress Accessibility Checker,"audit and remediate wordpress accessibility issues reported by the accessibility checker plugin or exported audit evidence. use when inspecting accessibility checker feedback, normalising issue exports, prioritising wcag-oriented fixes, creating client or developer reports, preparing mcp-safe wordpress content edits, or applying supported fixes such as alt text, link text, heading order, captions, labels, table headers, media metadata, and content structure while avoiding unsafe theme, plugin, javascript, css, aria, checkout, or production bulk changes.",agent-attached,/root/.codex/skills/hermes/wordpress-accessibility-checker,unknown,yes,yes,yes,fully exported,skills/agent-attached/wordpress-accessibility-checker,30 file(s) exported
yoast-auditor,Yoast Auditor,"audit, review, report and hand off yoast seo setups for wordpress and woocommerce sites. use when work involves yoast seo free, yoast seo premium, yoast woocommerce seo, metadata quality, schema output, xml sitemaps, robots rules, llms.txt, canonicals, redirects, breadcrumbs, indexables, product seo output, taxonomy seo, migration seo readiness, launch qa, client-ready audit reports, developer handoffs, evidence review, completed-change validation or yoast configuration review. do not use for first-time yoast setup or reusable configuration planning; route those to yoast-configuration.",agent-attached,/root/.codex/skills/hermes/yoast-auditor,unknown,yes,yes,yes,fully exported,skills/agent-attached/yoast-auditor,46 file(s) exported
