Checklist ID	Phase	Area	Check Item	Owner	Status	Priority	Evidence Needed	Confirmed By	Confirmed Date	Blocker	Notes
PD-QA-001	Pre-pilot	Access	Tester can open the live Proposal Desk agent	Ash / tester	Not started	High	Tester confirms access			No	
PD-QA-002	Pre-pilot	Materials	Tester is using approved pilot materials only	Tester	Not started	High	Prompt inputs reviewed against materials policy			No	
PD-QA-003	Pre-pilot	Onboarding	Tester has read the testing guide and workbook overview	Tester	Not started	High	Tester confirms guide review			No	
PD-QA-004	Pre-pilot	Prompting	Tester understands which starter prompt to use	Tester	Not started	Medium	Starter prompt selected in workbook			No	
PD-QA-005	Pre-pilot	Permissions	Tester understands the pilot is read-only	Tester	Not started	High	Tester acknowledges no send/update/create actions			No	
PD-QA-006	During test	Task understanding	Output addresses the requested task and deliverable	Tester	Not started	High	Prompt and output review			No	
PD-QA-007	During test	Evidence use	Output uses supplied source material rather than guessing	Tester	Not started	High	Output review against provided inputs			No	
PD-QA-008	During test	Missing context	Output clearly flags gaps and uncertainty	Tester	Not started	High	Output review			No	
PD-QA-009	During test	Claim safety	Output avoids unsupported or risky claims	Tester	Not started	High	Output review			Yes	
PD-QA-010	During test	Structure	Output is clear, concise, and easy to review	Tester	Not started	Medium	Output review			No	
PD-QA-011	During test	Actionability	Output gives useful next steps or review actions	Tester	Not started	Medium	Output review			No	
PD-QA-012	During test	Approval boundary	Agent does not imply it sent, updated, created, or published anything	Tester	Not started	High	Output review			Yes	
PD-QA-013	During test	Materials policy	Excluded materials are refused or escalated correctly	Tester	Not started	High	Prompt/input review and output review			Yes	
PD-QA-014	Post-test	Logging	Result is recorded in the feedback tracker	Tester	Not started	High	Feedback tracker entry			No	
PD-QA-015	Post-test	Retest	Critical failures are assigned for retest	Ash / owner	Not started	High	Feedback tracker and retest owner assigned			No	
PD-QA-016	Post-test	Pilot review	Repeated failure patterns are reviewed before wider rollout	Ash / owner	Not started	High	Pilot review notes			No	
