skill_name,display_name,description,source_type,path_or_uri,version,entrypoint_readable,supporting_files_readable,exportable,export_status,exported_path,notes
Bugherd connector tools,Bugherd connector tools,Bugherd connector tools for website task tracking and visual feedback context,platform-managed,asdk_app_6a01b491d12c8191bb07bb7bef63d403,unknown,no,no,no,metadata only - source files not exposed,,Visible as connected app/tool capability; no source file entrypoint exposed to the filesystem.
documents,documents,"Create, edit, redline, and comment on `.docx`, Word, and Google Docs-targeted document artifacts inside the container, with a strict render-and-verify workflow. Use `render_docx.py` to generate page PNGs (and optional PDF) for visual QA, then iterate until layout is flawless before delivering the final document.",platform-managed,/root/.codex/skills/builtins/documents,unknown,yes,yes,yes,fully exported,skills/platform-managed/documents,Platform-managed skill with files exposed in the local runtime.
frontend-skill,frontend-skill,"Use when the task asks for a visually strong landing page, website, app, prototype, demo, or game UI. This skill enforces restrained composition, image-led hierarchy, cohesive content structure, and tasteful motion while avoiding generic cards, weak branding, and UI clutter.",local,/root/.codex/skills/frontend-skill,unknown,yes,yes,yes,fully exported,skills/local/frontend-skill,
GitHub connector tools,GitHub connector tools,"GitHub connector tools for repository, issue, pull request and workflow operations",platform-managed,connector_76869538009648d5b282a4bb21c3d157,unknown,no,no,no,metadata only - source files not exposed,,Visible as connected app/tool capability; no source file entrypoint exposed to the filesystem.
github:gh-address-comments,gh-address-comments,"Address actionable GitHub pull request review feedback. Use when the user wants to inspect unresolved review threads, requested changes, or inline review comments on a PR, then implement selected fixes. Use the GitHub app for PR metadata and flat comment reads, and use the bundled GraphQL script via `gh` whenever thread-level state, resolution status, or inline review context matters.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-address-comments,unknown,yes,yes,yes,fully exported,skills/plugin-provided/github__gh-address-comments,
github:gh-fix-ci,gh-fix-ci,"Use when a user asks to debug or fix failing GitHub PR checks that run in GitHub Actions. Use the GitHub app from this plugin for PR metadata and patch context, and use `gh` for Actions check and log inspection before implementing any approved fix.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/gh-fix-ci,unknown,yes,yes,yes,fully exported,skills/plugin-provided/github__gh-fix-ci,
github:github,github,"Triage and orient GitHub repository, pull request, and issue work through the connected GitHub app. Use when the user asks for general GitHub help, wants PR or issue summaries, or needs repository context before choosing a more specific GitHub workflow.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/github,unknown,yes,yes,yes,fully exported,skills/plugin-provided/github__github,
github:yeet,yeet,"Publish local changes to GitHub by confirming scope, committing intentionally, pushing the branch, and opening a draft PR through the GitHub app from this plugin, with `gh` used only as a fallback where connector coverage is insufficient.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/github/local/skills/yeet,unknown,yes,yes,yes,fully exported,skills/plugin-provided/github__yeet,
Google Drive connector tools,Google Drive connector tools,"Google Drive connector tools for Docs, Sheets, Slides and Drive file operations",platform-managed,connector_5f3c8c41a1e54ad7a76272c89e2554fa,unknown,no,no,no,metadata only - source files not exposed,,Visible as connected app/tool capability; no source file entrypoint exposed to the filesystem.
google-drive:google-docs,google-docs,"Connector-first Google Docs creation and editing in local Codex plugin sessions, with direct native create and batchUpdate workflows for simple docs, DOCX-first import for polished deliverables, target-document checks, smart chip and building-block reconstruction, connector-readback verification, and reference routing for formatting, citations, tables, and write-safety.",plugin-provided,/root/.codex/plugins/cache/openai-marketplace/google-drive/local/skills/google-docs,unknown,yes,yes,yes,fully exported,skills/plugin-provided/google-drive__google-docs,
